The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
35,35.836,18.858,1031,19.143,2.388571429,,,,,,
35,36.124,20.336,1034,18.686,3.211428571,,,,,,
35,35.941,22.097,1031,18.057,2.688571429,,,,,,
35,34.839,21.365,1050,18.629,0.46,,,,,,
35,35.421,20,1045,19,1.202857143,,,,,,
35,35.997,22.097,1031,18.057,2.848571429,,,,,,
35,34.68,21.288,1055,18.743,0.914285714,,,,,,
35,35.936,21.903,1034,18.171,2.674285714,,,,,,
35,35.551,21.992,1034,18.143,1.574285714,,,,,,
35,35.806,20.43,1031,18.6,2.302857143,,,,,,
35,35.991,21.903,1034,18.171,2.831428571,,,,,,
35,36.094,18.854,1034,19.2,3.125714286,,,,,,
35,35.77,21.903,1034,18.171,2.2,,,,,,
35,36.046,21.903,1034,18.171,2.988571429,,,,,,
35,36.433,21.992,1034,18.143,4.094285714,,,,,,
