The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
15,16.069,21.903,1034,18.171,7.126666667,,,,,,
15,14.441,23.039,1053,18.143,3.726666667,,,,,,
15,16.09,22.006,1031,18.086,7.266666667,,,,,,
15,15.844,22.082,1034,18.114,5.626666667,,,,,,
15,15.764,21.992,1034,18.143,5.093333333,,,,,,
15,15.519,21.903,1034,18.171,3.46,,,,,,
15,15.4,21.538,1050,18.571,2.666666667,,,,,,
15,17.18,19.261,1017,18.743,14.53333333,,,,,,
15,15.089,23.655,1034,17.629,0.593333333,,,,,,
15,14.685,23.076,1052,18.114,2.1,,,,,,
15,15.828,22.237,1027,17.943,5.52,,,,,,
15,15.764,21.992,1034,18.143,5.093333333,,,,,,
15,15.598,21.992,1034,18.143,3.986666667,,,,,,
20,21.122,22.006,1031,18.086,5.61,,,,,,
19.9,20.692,21.903,1034,18.171,3.979899497,,,,,,
19.9,20.421,23.655,1034,17.629,2.618090452,,,,,,
19.9,20.527,21.903,1034,18.171,3.150753769,,,,,,
19.9,20.394,21.992,1034,18.143,2.48241206,,,,,,
19.9,20.857,21.903,1034,18.171,4.809045226,,,,,,
19.9,21.339,22.468,1018,17.714,7.231155779,,,,,,
19.9,20.912,21.903,1034,18.171,5.085427136,,,,,,
19.9,20.506,21.365,1050,18.629,3.045226131,,,,,,
19.9,20.679,22.006,1031,18.086,3.914572864,,,,,,
19.9,20.39,21.3,1052,18.686,2.462311558,,,,,,
19.9,20.9,22.006,1031,18.086,5.025125628,,,,,,
19.9,20.417,21.903,1034,18.171,2.59798995,,,,,,
19.9,20.878,22.097,1031,18.057,4.914572864,,,,,,
19.9,20.802,21.903,1034,18.171,4.532663317,,,,,,
19.9,20.462,21.431,1048,18.571,2.824120603,,,,,,
19.9,20.78,21.992,1034,18.143,4.422110553,,,,,,
19.9,20.485,21.8,1037,18.257,2.939698492,,,,,,
19.9,20.491,22.097,1031,18.057,2.969849246,,,,,,
19.9,21.237,20.43,1031,18.6,6.718592965,,,,,,
19.9,20.527,21.903,1034,18.171,3.150753769,,,,,,
19.9,20.868,18.285,1052,19.743,4.864321608,,,,,,
19.9,21.133,22.076,1029,18.029,6.195979899,,,,,,
19.9,20.802,21.903,1034,18.171,4.532663317,,,,,,
19.9,20.79,22.006,1031,18.086,4.472361809,,,,,,
19.9,20.857,21.903,1034,18.171,4.809045226,,,,,,
19.9,20.845,22.006,1031,18.086,4.748743719,,,,,,
19.9,20.735,22.006,1031,18.086,4.195979899,,,,,,
19.9,20.967,21.903,1034,18.171,5.361809045,,,,,,
19.9,20.669,23.866,1031,17.514,3.864321608,,,,,,
19.9,21.237,20.43,1031,18.6,6.718592965,,,,,,
19.9,20.802,21.903,1034,18.171,4.532663317,,,,,,
19.9,20.207,21.386,1052,18.657,1.542713568,,,,,,
19.9,20.613,21.365,1050,18.629,3.582914573,,,,,,
19.9,20.535,23.655,1034,17.629,3.190954774,,,,,,
19.9,21.613,22.577,1015,17.629,8.608040201,,,,,,
19.9,19.841,25.518,1034,17.086,0.296482412,,,,,,
